fid,chirality,length,functional_group,doping,mean_ig,max_ig,std_ig,top10_ig
42,"13,2",10,none,1Ti_substitution,0.028699923842976278,1.0,0.10132121743951379,0.24111831952791496
8,"6,6",10,none,1Ti_surface,0.014275204572510134,1.0,0.08560311168104084,0.10496165550637458
20,"7,5",10,none,1Ti_substitution,0.0619543107396698,1.0,0.17988774789072326,0.5446961812277109
36,"13,2",15,none,none,0.04236203061185417,1.0,0.16921288743615123,0.3555522752169657
6,"6,6",10,C=O,none,0.07521841272253234,1.0,0.08919058563827055,0.21242158700089675
1,"6,6",10,none,none,0.6853354352683745,1.0,0.2852492844422743,1.0
40,"13,2",10,NH2,none,0.021116200118328314,1.0,0.08972482979181541,0.1823648121081521
11,"6,6",10,none,2Ti_substitution,0.09494309104089291,1.0,0.24188184933622556,0.7871017273567161
43,"13,2",10,none,2Ti_surface,0.07679943443925293,1.0,0.19276687217805427,0.6384069859042781
6,"6,6",10,C=O,none,0.033950326134966506,1.0,0.09419993580280697,0.17971033888735427
1,"6,6",10,none,none,0.6909286706345771,1.0,0.28180383994010144,1.0
19,"7,5",10,none,1Ti_surface,0.04354561680967319,1.0,0.1486364836198015,0.31836449455265686
28,"13,1",10,C=O,none,0.05597613886881785,1.0,0.19241324880638028,0.4741543516794994
12,"7,5",10,none,none,0.6848936924878897,1.0,0.27551949078771115,0.979240070908839
38,"13,2",10,SO3H,none,0.06682795744981306,1.0,0.19513683566798518,0.5316700346022543
44,"13,2",10,none,2Ti_substitution,0.03046612885249226,1.0,0.11742390654799441,0.2759004538458374
18,"7,5",10,NH2,none,0.010972748745017477,1.0,0.08831843194554898,0.09875490735873549
41,"13,2",10,none,1Ti_surface,0.019366490846532025,1.0,0.09065554261594792,0.16967090991207592
16,"7,5",10,SO3H,none,0.029999698171301017,1.0,0.10572625891839535,0.22131677985860485
38,"13,2",10,SO3H,none,0.059644128557623854,1.0,0.16920143735031862,0.5159306928245233
32,"13,1",10,none,2Ti_surface,0.06220296557936565,1.0,0.18422295989796597,0.5005615093174914
30,"13,1",10,none,1Ti_surface,0.020998080723221634,1.0,0.09358725088874918,0.18600257814168633
37,"13,2",20,none,none,0.03252334239779244,1.0,0.15117031846887308,0.29101959218742296
34,"13,2",10,none,none,0.057501530441506236,1.0,0.19912151042325665,0.49340142683269717
41,"13,2",10,none,1Ti_surface,0.018964935024524704,1.0,0.09205487162588734,0.16862019766140574
21,"7,5",10,none,2Ti_surface,0.023601924377630795,1.0,0.12444219290495401,0.2123169387938019
5,"6,6",10,SO3H,none,0.025929917826128294,1.0,0.11403339193315208,0.2394935534305517
25,"13,1",15,none,none,0.044486456234739985,1.0,0.16467235412644793,0.3478574090427615
