FileID,Temperature,E,G,Pressure,length,n,m,diameter,Ti_count,FG_C=O,FG_NH2,FG_SO3H,FG_none,TiType_1Ti_substitution,TiType_1Ti_surface,TiType_2Ti_substitution,TiType_2Ti_surface,TiType_none,TDA_H0_max,TDA_H0_min,TDA_H0_mean,TDA_H0_std,TDA_H0_sum,TDA_H1_max,TDA_H1_min,TDA_H1_mean,TDA_H1_std,TDA_H1_sum,TDA_H2_max,TDA_H2_min,TDA_H2_mean,TDA_H2_std,TDA_H2_sum,theta
1,298.15,-0.000043 ,0.000089 ,2,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.645426
1,298.15,-0.000043 ,0.000089 ,3,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.731934
1,298.15,-0.000043 ,0.000089 ,4,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.784509
1,298.15,-0.000043 ,0.000089 ,5,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.819843
1,400,-0.000043 ,0.000126 ,1,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.475128
1,400,-0.000043 ,0.000126 ,2,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.644185
1,400,-0.000043 ,0.000126 ,3,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.73087
1,400,-0.000043 ,0.000126 ,4,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.783592
1,400,-0.000043 ,0.000126 ,5,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.819042
1,500,-0.000043 ,0.000159 ,1,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.474989
