File ID,Temperature (K),G,Pressure (bar),theta
5,600,0.502157,5,0.000303
5,700,0.508555,1,0.000218
5,700,0.508555,2,0.000436
5,700,0.508555,3,0.000654
5,700,0.508555,4,0.000871
5,700,0.508555,5,0.001089
6,77,0.001045,1,0.460707
6,77,0.001045,2,0.6308
6,77,0.001045,3,0.719325
6,77,0.001045,4,0.773608
6,77,0.001045,5,0.810297
6,100,0.001712,1,0.450493
6,100,0.001712,2,0.621159
6,100,0.001712,3,0.710936
6,100,0.001712,4,0.766315
6,100,0.001712,5,0.803886
6,273,0.006703,1,0.429244
6,273,0.006703,2,0.600658
6,273,0.006703,3,0.692892
6,273,0.006703,4,0.750514
6,273,0.006703,5,0.789929
6,298.15,0.007399,1,0.428495
6,298.15,0.007399,2,0.599925
6,298.15,0.007399,3,0.692241
6,298.15,0.007399,4,0.749942
6,298.15,0.007399,5,0.789422
6,400,0.010145,1,0.426944
6,400,0.010145,2,0.598403
6,400,0.010145,3,0.69089
6,400,0.010145,4,0.748751
6,400,0.010145,5,0.788366
6,500,0.012738,1,0.426622
6,500,0.012738,2,0.598087
6,500,0.012738,3,0.690608
6,500,0.012738,4,0.748503
6,500,0.012738,5,0.788147
6,600,0.015243,1,0.426823
6,600,0.015243,2,0.598285
6,600,0.015243,3,0.690784
6,600,0.015243,4,0.748658
6,600,0.015243,5,0.788284
6,700,0.017675,1,0.427263
6,700,0.017675,2,0.598717
6,700,0.017675,3,0.691168
6,700,0.017675,4,0.748997
6,700,0.017675,5,0.788584
7,77,0.000319,1,0.487983
7,77,0.000319,2,0.655899
7,77,0.000319,3,0.740878
7,77,0.000319,4,0.792197
7,77,0.000319,5,0.826548
7,100,0.000922,1,0.473276
7,100,0.000922,2,0.642481
7,100,0.000922,3,0.729407
7,100,0.000922,4,0.78233
7,100,0.000922,5,0.817938
7,273,0.005232,1,0.444626
7,273,0.005232,2,0.615559
7,273,0.005232,3,0.706035
7,273,0.005232,4,0.762038
7,273,0.005232,5,0.800118
7,298.15,0.00582,1,0.443608
7,298.15,0.00582,2,0.614582
7,298.15,0.00582,3,0.705178
7,298.15,0.00582,4,0.761289
7,298.15,0.00582,5,0.799457
7,400,0.008114,1,0.441419
7,400,0.008114,2,0.612478
7,400,0.008114,3,0.70333
7,400,0.008114,4,0.759673
7,400,0.008114,5,0.798031
7,500,0.010253,1,0.440786
7,500,0.010253,2,0.611869
7,500,0.010253,3,0.702795
7,500,0.010253,4,0.759204
7,500,0.010253,5,0.797617
7,600,0.012304,1,0.440784
7,600,0.012304,2,0.611867
7,600,0.012304,3,0.702793
7,600,0.012304,4,0.759203
7,600,0.012304,5,0.797616
7,700,0.014278,1,0.441098
7,700,0.014278,2,0.612169
7,700,0.014278,3,0.703058
7,700,0.014278,4,0.759435
7,700,0.014278,5,0.797821
8,77,0.000212,1,0.492013
8,77,0.000212,2,0.659529
8,77,0.000212,3,0.743961
8,77,0.000212,4,0.794839
8,77,0.000212,5,0.828848
8,100,0.000915,1,0.473479
8,100,0.000915,2,0.642668
8,100,0.000915,3,0.729567
8,100,0.000915,4,0.782468
8,100,0.000915,5,0.818059
8,273,0.00644,1,0.431985
8,273,0.00644,2,0.603337
8,273,0.00644,3,0.695266
8,273,0.00644,4,0.752602
8,273,0.00644,5,0.791779
8,298.15,0.007233,1,0.430078
8,298.15,0.007233,2,0.601475
8,298.15,0.007233,3,0.693616
8,298.15,0.007233,4,0.751151
8,298.15,0.007233,5,0.790494
8,400,0.010391,1,0.425199
8,400,0.010391,2,0.596687
8,400,0.010391,3,0.689363
8,400,0.010391,4,0.747406
8,400,0.010391,5,0.787173
8,500,0.013404,1,0.422845
8,500,0.013404,2,0.594365
8,500,0.013404,3,0.687296
8,500,0.013404,4,0.745582
8,500,0.013404,5,0.785554
8,600,0.01634,1,0.421641
8,600,0.01634,2,0.593175
8,600,0.01634,3,0.686234
8,600,0.01634,4,0.744645
8,600,0.01634,5,0.784721
8,700,0.019207,1,0.42106
8,700,0.019207,2,0.5926
8,700,0.019207,3,0.685721
8,700,0.019207,4,0.744192
8,700,0.019207,5,0.784319
9,77,0.000604,1,0.477258
9,77,0.000604,2,0.64614
9,77,0.000604,3,0.732547
9,77,0.000604,4,0.785037
9,77,0.000604,5,0.820304
9,100,0.00118,1,0.465819
9,100,0.00118,2,0.635575
9,100,0.00118,3,0.723457
9,100,0.00118,4,0.777188
9,100,0.00118,5,0.813437
9,273,0.005402,1,0.442842
9,273,0.005402,2,0.613847
9,273,0.005402,3,0.704533
9,273,0.005402,4,0.760725
9,273,0.005402,5,0.79896
9,298.15,0.005984,1,0.442033
9,298.15,0.005984,2,0.613069
9,298.15,0.005984,3,0.703849
9,298.15,0.005984,4,0.760127
9,298.15,0.005984,5,0.798432
9,400,0.008263,1,0.440353
9,400,0.008263,2,0.611451
9,400,0.008263,3,0.702427
9,400,0.008263,4,0.758883
9,400,0.008263,5,0.797333
9,500,0.010396,1,0.439968
9,500,0.010396,2,0.611081
